ID,Population,Treatment,Timepoint,SVL_Capture,Capture_Mass,Experiment_Mass,Experiment_SVL,MR_Tb,Hct,Hb,VCO2_Max,TimetoExhaustion
1123,Alas,Hypoxia,T1,66.52,7.68,7.18,67.34,.,0.36876,77.36862708,0.107,84.8
1123,Alas,Hypoxia,T2,66.52,7.68,7.43,68.38,30,0.37119,84.75847125,0.102,137.84
1123,Alas,Hypoxia,T3,66.52,7.68,7.26,70.2,31.2,0.3647,88.35555,0.095,149.08
255,Engomer,Normoxia,T1,58.49,6.07,5.5,59.3,.,0.43034,50.36986667,.,115.88
255,Engomer,Normoxia,T2,58.49,6.07,6.48,61.08,.,0.38907,76.66193833,.,195.12
255,Engomer,Normoxia,T3,58.49,6.07,6.05,62.24,.,0.39802,88.78877708,.,214.4
254,Engomer,Normoxia,T1,60.82,5.61,4.92,59.31,.,0.35306,83.583995,.,58.64
254,Engomer,Normoxia,T2,60.82,5.61,5.41,61.24,.,0.34696,88.34145125,.,136.08
254,Engomer,Normoxia,T3,60.82,5.61,5.33,60.27,.,.,.,.,.
253,Engomer,Normoxia,T1,60.09,6.37,5.55,60.58,.,0.3744,95.32294708,0.113,59.48
253,Engomer,Normoxia,T2,60.09,6.37,6.16,61.62,.,0.41793,91.23899583,0.092,.
253,Engomer,Normoxia,T3,60.09,6.37,6.19,63.27,30,0.4375,95.90506458,0.096,236.64
252,Engomer,Normoxia,T1,64.44,7.74,6.69,64.41,.,0.40258,91.66675667,.,113.32
252,Engomer,Normoxia,T2,64.44,7.74,6.84,64.14,.,0.38785,106.6897763,.,112.52
252,Engomer,Normoxia,T3,64.44,7.74,6.93,64.56,.,0.43269,100.9901563,.,153.72
251,Engomer,Normoxia,T1,60.26,6.21,5.53,59.62,.,0.47478,89.66956875,0.097,128.32
251,Engomer,Normoxia,T2,60.26,6.21,5.98,61.09,28.6,0.38299,101.04197,0.098,260.6
251,Engomer,Normoxia,T3,60.26,6.21,6.03,61.86,29.4,0.31694,75.0136325,0.12,297.36
250,Engomer,Normoxia,T1,66.66,7.65,6.67,63.44,.,0.45813,60.22488667,.,61.08
250,Engomer,Normoxia,T2,66.66,7.65,7.24,64.53,.,0.38436,105.9023875,.,62.72
250,Engomer,Normoxia,T3,66.66,7.65,7.33,64.29,.,0.48889,68.2850625,.,130.44
249,Engomer,Normoxia,T1,65.43,7.5,6.54,64.38,.,0.44397,92.38101333,.,64.6
249,Engomer,Normoxia,T2,65.43,7.5,7.01,59.55,.,0.39764,108.690755,.,164.04
249,Engomer,Normoxia,T3,65.43,7.5,7.3,64.82,.,0.39143,106.6718229,.,163.6
248,Engomer,Normoxia,T1,63.01,5.99,5.29,61.43,.,0.44203,91.44810667,0.1016327,118.17
248,Engomer,Normoxia,T2,63.01,5.99,5.66,64.51,28.2,0.36985,90.75787333,0.082,140
248,Engomer,Normoxia,T3,63.01,5.99,5.97,64.52,29.8,0.41632,96.13233125,0.093,201.16
247,Alas,Normoxia,T1,63.4,8.46,7.13,63.21,.,0.46357,104.7857567,0.156,112.36
247,Alas,Normoxia,T2,63.4,8.46,8.07,67.59,29.6,0.42215,84.46440667,0.136,275.44
247,Alas,Normoxia,T3,63.4,8.46,8.07,64.78,29.8,0.39315,113.0565958,0.133,359.56
246,Alas,Normoxia,T1,67.46,8.45,7.54,64.97,.,0.38395,75.47208,.,60.04
246,Alas,Normoxia,T2,67.46,8.45,7.79,67.92,.,0.38774,85.71200625,.,122.12
246,Alas,Normoxia,T3,67.46,8.45,8.16,64.78,.,0.39575,96.21755625,.,162.88
245,Alas,Normoxia,T1,63.81,6.75,5.52,61.49,.,0.29185,92.38101333,.,60.04
245,Alas,Normoxia,T2,63.81,6.75,6.37,63.96,29.5,0.38926,86.49217125,0.088,144
245,Alas,Normoxia,T3,63.81,6.75,6.01,63.85,29,0.33727,55.149725,0.091,149.08
243,Alas,Normoxia,T1,65.54,7.73,6.93,64.01,.,0.39402,72.78984583,.,83.28
243,Alas,Normoxia,T2,65.54,7.73,7.26,65.86,.,0.38228,97.07994667,.,393.4
243,Alas,Normoxia,T3,65.54,7.73,7.21,67.01,.,0.39436,104.6619333,.,333.73
242,Alas,Normoxia,T1,60.95,5.7,4.72,59.13,.,0.34305,85.92355,.,63.12
242,Alas,Normoxia,T2,60.95,5.7,5.1,63.27,.,0.33493,78.30043875,.,114.8
242,Alas,Normoxia,T3,60.95,5.7,4.92,62.58,28.8,0.37648,83.06449792,0.076,153.92
241,Alas,Normoxia,T1,68.73,8.44,7.19,67.36,.,0.43035,99.30493,.,.
241,Alas,Normoxia,T2,68.73,8.44,7.89,65.46,.,0.3966,89.98902917,.,191.12
241,Alas,Normoxia,T3,68.73,8.44,7.38,68.44,.,0.3782,87.08427708,.,340.48
240,Alas,Normoxia,T1,65.95,7.31,6.23,65.36,.,0.36835,77.26501,.,79.68
240,Alas,Normoxia,T2,65.95,7.31,.,.,.,.,.,.,.
240,Alas,Normoxia,T3,65.95,7.31,6.76,67.88,29.4,0.34848,78.17809167,0.1,207.96
239,Alas,Normoxia,T1,68.64,7.22,5.96,61.42,.,0.41372,111.833575,0.093,.
239,Alas,Normoxia,T2,68.64,7.22,7.31,65.54,29,0.40717,75.3314775,0.112,.
239,Alas,Normoxia,T3,68.64,7.22,7.29,69.48,29.2,0.40941,83.32017292,.,342.64
237,Alas,Hypoxia,T1,50.55,3.54,3.29,51.73,.,0.34156,86.0919125,0.072,60.28
237,Alas,Hypoxia,T2,50.55,3.54,3.54,54.67,30.4,0.43633,99.17707625,0.064,70.24
237,Alas,Hypoxia,T3,50.55,3.54,3.46,55.22,31.2,0.41437,90.79363167,0.064,82.8
236,Alas,Hypoxia,T1,65.71,8,7.43,64.34,.,0.42375,76.83770833,0.111,81.12
236,Alas,Hypoxia,T2,65.71,8,7.61,66.26,.,0.40529,101.04197,.,95.92
236,Alas,Hypoxia,T3,65.71,8,7.55,66.83,.,0.45041,108.0005417,.,159.24
235,Alas,Hypoxia,T1,60.26,7,5.95,61.33,.,0.39118,86.71797833,.,.
235,Alas,Hypoxia,T2,60.26,7,6.53,63.85,.,0.41894,81.05991125,.,87.48
235,Alas,Hypoxia,T3,60.26,7,6.53,64.24,.,0.36407,79.03051458,.,174.56
232,Alas,Hypoxia,T1,56.03,5.64,5.01,58.33,.,0.33333,77.3962,.,83.76
232,Alas,Hypoxia,T2,56.03,5.64,4.92,60.24,30.9,0.37966,65.03763375,0.065,87.76
232,Alas,Hypoxia,T3,56.03,5.64,4.81,59.66,30.8,0.30556,67.250345,0.065,56.12
230,Alas,Hypoxia,T1,64.17,7.2,6.8,63.22,.,0.38441,73.93424167,.,78.2
230,Alas,Hypoxia,T2,64.17,7.2,6.66,67.81,.,0.42989,88.579835,.,135.28
230,Alas,Hypoxia,T3,64.17,7.2,6.31,65.4,.,0.22333,.,.,106.72
228,Engomer,Hypoxia,T1,58.65,4.96,4.59,60.28,.,0.31818,54.98333958,0.06,49.48
228,Engomer,Hypoxia,T2,58.65,4.96,4.88,60.18,30.6,0.36222,88.67374375,0.068,259.4
228,Engomer,Hypoxia,T3,58.65,4.96,4.68,59.95,30.6,0.31783,79.98031167,0.082,172.76
226,Engomer,Hypoxia,T1,67.08,7.35,6.5,64.45,.,0.37896,72.891625,0.102,119.84
226,Engomer,Hypoxia,T2,67.08,7.35,6.82,66.29,30.1,0.44936,96.88515208,0.105,.
226,Engomer,Hypoxia,T3,67.08,7.35,.,.,.,.,.,.,.
225,Engomer,Hypoxia,T1,64.12,7.6,6.75,65.37,.,0.37052,96.70221875,0.1,70.2
225,Engomer,Hypoxia,T2,64.12,7.6,7.15,65.47,29.6,0.43127,91.10115333,0.091,139.68
225,Engomer,Hypoxia,T3,64.12,7.6,6.93,65.53,30.2,0.37733,68.2850625,0.096,100.92
224,Engomer,Hypoxia,T1,60.78,6.29,5.88,61.25,.,0.32346,96.76355,0.157,90.8
224,Engomer,Hypoxia,T2,60.78,6.29,6.94,63.82,30.5,0.42781,90.45801,0.1,114.12
224,Engomer,Hypoxia,T3,60.78,6.29,6.17,62.77,31,0.42234,89.0799625,0.082,222.6
223,Engomer,Hypoxia,T1,59.19,5,4.92,60.36,.,0.34229,79.46132292,.,81.32
223,Engomer,Hypoxia,T2,59.19,5,5,60.46,.,0.35826,.,.,292.64
223,Engomer,Hypoxia,T3,59.19,5,5.06,62.22,.,0.36817,98.3607925,.,335.28
222,Engomer,Hypoxia,T1,62.31,6.28,5.28,60.83,.,0.35889,75.60342167,.,68.32
222,Engomer,Hypoxia,T2,62.31,6.28,5.77,64.74,.,0.3971,.,.,143.56
222,Engomer,Hypoxia,T3,62.31,6.28,6,63.59,.,0.38297,67.19134167,.,122.8
220,Engomer,Hypoxia,T1,58.66,5.82,4.67,57.31,.,0.35947,75.12043333,0.113,43.2
220,Engomer,Hypoxia,T2,58.66,5.82,4.77,57.64,29.8,0.42601,88.43536,0.085,130.72
220,Engomer,Hypoxia,T3,58.66,5.82,4.83,60.85,31,0.33234,79.74430667,0.074,157.36
218,Luzenac,Normoxia,T1,61.86,5.61,5.27,61.44,.,0.40032,74.86829375,.,.
218,Luzenac,Normoxia,T2,61.86,5.61,5.61,62.27,.,0.27788,57.962765,0.092,197.68
218,Luzenac,Normoxia,T3,61.86,5.61,5.88,63.63,28.2,0.33085,85.37249,0.086,273.88
217,Luzenac,Normoxia,T1,64.42,5.92,6,63.37,.,0.40898,82.54905167,.,.
217,Luzenac,Normoxia,T2,64.42,5.92,6.29,64.94,28.8,0.28171,56.56614333,0.106,132.44
217,Luzenac,Normoxia,T3,64.42,5.92,6.12,65.56,29,0.2972,66.50243958,0.082,229.2
216,Luzenac,Normoxia,T1,72.83,8.65,7.58,73.76,.,0.37752,93.66342833,.,.
216,Luzenac,Normoxia,T2,72.83,8.65,7.15,73.49,.,0.34538,65.64134792,.,79.92
216,Luzenac,Normoxia,T3,72.83,8.65,7.11,74.33,.,0.31675,67.197535,.,68.64
215,Luzenac,Normoxia,T1,69.52,7.99,7.25,72.67,.,0.35944,87.65817333,.,.
215,Luzenac,Normoxia,T2,69.52,7.99,7.56,69.29,.,0.33355,77.76307417,0.119,120.04
215,Luzenac,Normoxia,T3,69.52,7.99,7.36,72.14,29.2,0.42956,88.78877708,0.107,.
214,Luzenac,Normoxia,T1,62.4,6.32,5.59,61.16,.,0.33156,85.60491917,.,.
214,Luzenac,Normoxia,T2,62.4,6.32,6.03,62.47,.,0.37531,82.1382925,0.09,150.4
214,Luzenac,Normoxia,T3,62.4,6.32,5.72,63.14,29,0.39186,98.04279167,0.075,258.88
213,Astien,Normoxia,T1,61.94,6.05,6,61.1,.,0.37716,92.03422917,.,.
213,Astien,Normoxia,T2,61.94,6.05,6.59,64.04,.,0.37183,90.00348333,.,141.28
213,Astien,Normoxia,T3,61.94,6.05,6.5,64.3,.,0.45858,85.71200625,.,110.2
211,Astien,Normoxia,T1,68.27,8.56,8.42,69.82,.,0.43425,105.2136333,.,.
211,Astien,Normoxia,T2,68.27,8.56,8.3,69.38,28.6,0.37505,78.31521833,0.133,384.92
211,Astien,Normoxia,T3,68.27,8.56,8.98,69.47,27.6,0.45217,104.6619333,0.1,464.96
210,Astien,Normoxia,T1,55.94,4.82,4.67,55.14,.,0.34202,69.38632167,.,.
210,Astien,Normoxia,T2,55.94,4.82,5.18,58.13,.,0.28571,65.33633583,0.09,105.64
210,Astien,Normoxia,T3,55.94,4.82,5,58.6,28.2,0.33951,82.440485,0.075,199.2
209,Astien,Normoxia,T1,65.95,8.21,7.87,66.71,.,0.41716,88.86886,.,.
209,Astien,Normoxia,T2,65.95,8.21,7.79,68.53,.,0.39601,101.0789342,.,99.4
209,Astien,Normoxia,T3,65.95,8.21,7.85,69.31,28.4,0.38915,104.5105283,0.114,90.12
208,Astien,Normoxia,T1,64.14,7.91,7.08,64.91,.,0.35439,94.74032292,.,.
208,Astien,Normoxia,T2,64.14,7.91,7.43,69.48,.,0.29834,70.04703417,.,111.48
208,Astien,Normoxia,T3,64.14,7.91,7.42,68.45,.,0.35535,87.71126333,.,154
207,Luzenac,Hypoxia,T1,65.66,7.57,7.24,64.5,.,0.35103,84.92504833,.,.
207,Luzenac,Hypoxia,T2,65.66,7.57,7.57,67.89,.,0.37818,85.99643333,0.074,94.68
207,Luzenac,Hypoxia,T3,65.66,7.57,7.33,68.97,30.4,0.38242,74.47185125,0.078,80.36
206,Luzenac,Hypoxia,T1,58.14,5.12,4.96,58.64,.,0.42248,80.84358167,.,.
206,Luzenac,Hypoxia,T2,58.14,5.12,4.82,57.46,.,0.4302,77.80500917,.,83.44
206,Luzenac,Hypoxia,T3,58.14,5.12,4.83,60.52,.,0.44779,89.85676333,.,113.84
205,Luzenac,Hypoxia,T1,63.46,6.88,6.81,62.04,.,0.40452,80.42085833,.,.
205,Luzenac,Hypoxia,T2,63.46,6.88,6.9,62.11,.,0.44501,78.1335,0.101,79.56
205,Luzenac,Hypoxia,T3,63.46,6.88,6.56,63.76,30.4,0.34572,88.51940167,0.062,179.92
204,Luzenac,Hypoxia,T1,63.4,6.77,6.75,65.69,.,0.37834,106.8119133,.,.
204,Luzenac,Hypoxia,T2,63.4,6.77,6.23,68.32,30.4,0.36087,86.33878167,0.094,.
204,Luzenac,Hypoxia,T3,63.4,6.77,6.3,68.51,30.2,0.4505,76.18992833,0.071,108.16
203,Luzenac,Hypoxia,T1,57.71,5.01,5.4,57.58,.,0.36524,78.66437,.,.
203,Luzenac,Hypoxia,T2,57.71,5.01,5.48,60.79,.,0.41145,92.78383333,.,78.84
203,Luzenac,Hypoxia,T3,57.71,5.01,5.74,61.06,.,0.46475,80.895725,.,86.4
202,Luzenac,Hypoxia,T1,63.23,8.2,7.76,63.67,.,0.2984,72.65878333,.,.
202,Luzenac,Hypoxia,T2,63.23,8.2,7.53,64.33,.,0.34744,86.73716417,.,169.84
202,Luzenac,Hypoxia,T3,63.23,8.2,7.12,62.47,.,.,.,.,.
201,Astien,Hypoxia,T1,61.06,5.64,5.37,60.48,.,0.37079,73.22727333,.,.
201,Astien,Hypoxia,T2,61.06,5.64,5.33,60.69,.,0.39662,75.7222375,.,112.24
201,Astien,Hypoxia,T3,61.06,5.64,5.1,62.52,.,0.37251,.,.,106.8
200,Astien,Hypoxia,T1,60.81,6.46,6.66,62.67,.,0.33089,75.33360167,.,.
200,Astien,Hypoxia,T2,60.81,6.46,6.62,63.64,30.4,0.39865,95.24996917,0.08,78.56
200,Astien,Hypoxia,T3,60.81,6.46,6.51,62.57,29.6,0.40828,100.87033,0.075,76.64
199,Astien,Hypoxia,T1,63.66,6.75,6.87,66.06,.,0.41652,72.30894333,.,.
199,Astien,Hypoxia,T2,63.66,6.75,7.14,66.93,30.2,0.48881,93.47892083,0.107,129.2
199,Astien,Hypoxia,T3,63.66,6.75,7.05,66.67,29.8,0.39993,97.716445,0.1,128.76
198,Astien,Hypoxia,T1,65.37,7.41,6.84,66.22,.,0.4154,80.33339833,.,.
198,Astien,Hypoxia,T2,65.37,7.41,7.24,67.77,.,0.35637,104.1437438,0.122,174.76
198,Astien,Hypoxia,T3,65.37,7.41,7.1,69.75,30.4,0.40162,84.38573833,0.07,151.52
197,Astien,Hypoxia,T1,60.06,6.18,6.56,62.81,.,0.42101,95.28905833,.,.
197,Astien,Hypoxia,T2,60.06,6.18,6.3,64.81,.,0.38387,98.73977917,.,99.76
197,Astien,Hypoxia,T3,60.06,6.18,6.17,64.36,.,0.38265,98.274275,.,154
196,Astien,Hypoxia,T1,70.13,7.59,7.01,69.84,.,0.40351,86.30316458,.,.
196,Astien,Hypoxia,T2,70.13,7.59,7.51,71.81,.,0.48444,85.99643333,0.147,127.12
196,Astien,Hypoxia,T3,70.13,7.59,7.32,69.79,30.4,0.42867,.,0.085,164.6
195,Aubert,Normoxia,T1,65.06,6.84,7.07,64.92,.,0.36707,83.95894792,.,.
195,Aubert,Normoxia,T2,65.06,6.84,7.01,66.5,.,0.39487,95.14513167,0.144,88.72
195,Aubert,Normoxia,T3,65.06,6.84,6.77,66.45,29.2,0.35851,86.49217125,0.088,91.36
194,Aubert,Normoxia,T1,64.7,7.35,7.12,66.11,.,0.34411,84.87804583,.,.
194,Aubert,Normoxia,T2,64.7,7.35,7.59,65.82,.,0.38604,86.80006667,.,106.72
194,Aubert,Normoxia,T3,64.7,7.35,7.54,68.21,.,0.34086,95.8180325,.,174
193,Aubert,Normoxia,T1,60.61,5.52,5.43,60.94,.,0.4075,97.75847917,.,.
193,Aubert,Normoxia,T2,60.61,5.52,5.61,59.36,.,0.40594,95.24996917,.,112.68
193,Aubert,Normoxia,T3,60.61,5.52,5.72,62.31,.,0.35946,84.25764792,.,138.52
192,Aubert,Normoxia,T1,55.02,4.6,4.48,55.04,.,0.39324,76.29566167,.,.
192,Aubert,Normoxia,T2,55.02,4.6,4.99,55.3,.,0.31308,71.95846667,0.078,109.68
192,Aubert,Normoxia,T3,55.02,4.6,5.16,57.15,29.8,0.36891,88.26199,0.072,146.88
191,Aubert,Normoxia,T1,68.11,8.21,7.74,67.05,.,0.32725,91.86354167,.,.
191,Aubert,Normoxia,T2,68.11,8.21,7.67,64.52,.,0.30561,74.74375417,0.087,85.96
191,Aubert,Normoxia,T3,68.11,8.21,8.56,69.62,28.6,0.37356,96.28857708,0.069,244.88
190,Aubert,Hypoxia,T1,65.61,7.05,6.77,66.04,.,0.40407,97.32234583,.,.
190,Aubert,Hypoxia,T2,65.61,7.05,7.2,68.68,.,0.38024,85.62588667,.,90.84
190,Aubert,Hypoxia,T3,65.61,7.05,6.81,67.12,.,0.40146,79.0589325,.,134.88
189,Aubert,Normoxia,T1,60.9,5.78,5.3,60.36,.,0.37269,106.2426354,.,.
189,Aubert,Normoxia,T2,60.9,5.78,5.13,59.77,.,0.33092,68.43253667,.,96.2
189,Aubert,Normoxia,T3,60.9,5.78,5.4,61.45,28.6,0.30563,67.250345,0.077,95.28
184,Lambege,Normoxia,T1,62.96,7.24,6.79,62.61,.,0.39609,89.58779375,.,.
184,Lambege,Normoxia,T2,62.96,7.24,7.15,65.66,.,0.27418,87.149525,0.145,56.6
184,Lambege,Normoxia,T3,62.96,7.24,6.7,64.94,29,0.38101,103.7596033,0.092,93.28
182,Lambege,Normoxia,T1,67.5,7.59,7.69,64.28,.,.,.,.,.
182,Lambege,Normoxia,T2,67.5,7.59,7.23,67.49,.,0.3398,62.0094925,0.061,107.92
182,Lambege,Normoxia,T3,67.5,7.59,7.48,67.84,29,0.30053,80.84864792,.,248.52
181,Lambege,Normoxia,T1,51.18,3.66,3.69,53.87,.,0.37049,90.96561,.,.
181,Lambege,Normoxia,T2,51.18,3.66,3.72,52.61,.,0.31346,91.54571083,.,110.72
181,Lambege,Normoxia,T3,51.18,3.66,3.57,54.91,.,0.35974,.,.,165.8
180,Lambege,Normoxia,T1,56.67,4.42,4.81,58.28,.,0.48837,98.52507833,.,.
180,Lambege,Normoxia,T2,56.67,4.42,5.2,57.47,.,0.34318,94.02088833,0.1026758,140.48
180,Lambege,Normoxia,T3,56.67,4.42,5.1,58.38,28,0.37877,98.92345,.,216.92
179,Astien,Normoxia,T1,59.48,5.07,5.56,61,.,0.50474,91.68668542,.,.
179,Astien,Normoxia,T2,59.48,5.07,5.07,61.19,.,0.31268,70.72498333,.,164.72
179,Astien,Normoxia,T3,59.48,5.07,5.1,62.3,28.6,0.32863,90.47895833,0.086,138.2
178,Aubert,Hypoxia,T1,64,6.92,6.6,64.29,.,0.28017,.,.,.
178,Aubert,Hypoxia,T2,64,6.92,6.79,64.7,.,0.39279,91.54438542,.,102.68
178,Aubert,Hypoxia,T3,64,6.92,6.85,65.32,.,0.32206,71.12003125,.,270.08
177,Astien,Hypoxia,T1,62.77,5.51,5.41,61.02,.,0.38731,.,.,.
177,Astien,Hypoxia,T2,62.77,5.51,5.28,62.97,.,0.41433,106.4675167,.,80.64
177,Astien,Hypoxia,T3,62.77,5.51,5.24,64.53,.,0.44925,81.85714375,.,96.48
176,Aubert,Hypoxia,T1,61.44,6,6.34,64.77,.,0.3294,.,.,.
176,Aubert,Hypoxia,T2,61.44,6,5.78,61.82,.,0.38531,73.77924917,0.101,80
176,Aubert,Hypoxia,T3,61.44,6,5.82,64.11,.,0.38347,79.85158167,.,103
175,Aubert,Hypoxia,T1,62.47,7.04,7.92,67.07,.,0.39811,.,.,.
175,Aubert,Hypoxia,T2,62.47,7.04,7.6,66.92,.,0.44293,78.28726167,.,61.24
175,Aubert,Hypoxia,T3,62.47,7.04,6.96,68.85,30.8,0.22583,56.19731667,0.063,90.36
174,Aubert,Hypoxia,T1,65.21,8.11,7.22,66.25,.,0.33819,.,.,.
174,Aubert,Hypoxia,T2,65.21,8.11,7.21,67.49,.,0.32366,84.17701458,.,77.16
174,Aubert,Hypoxia,T3,65.21,8.11,7.25,69.4,.,0.35612,80.17861375,.,124.64
172,Aubert,Hypoxia,T1,62.52,6.4,5.34,61.53,.,0.4232,.,.,.
172,Aubert,Hypoxia,T2,62.52,6.4,5.29,60.47,.,0.41123,94.94244583,.,73.16
172,Aubert,Hypoxia,T3,62.52,6.4,5.55,64.27,.,0.38212,98.231365,.,141.52
171,Lambege,Hypoxia,T1,62.08,6.41,6.45,64.52,.,0.39322,.,.,.
171,Lambege,Hypoxia,T2,62.08,6.41,6.16,62.48,.,0.39716,81.37647333,0.072,71.44
171,Lambege,Hypoxia,T3,62.08,6.41,6.12,65.63,.,.,.,.,.
170,Lambege,Hypoxia,T1,65.2,7.48,7.85,65.17,.,0.35119,.,.,.
170,Lambege,Hypoxia,T2,65.2,7.48,7.05,62.91,.,0.34712,71.92712,.,34.48
170,Lambege,Hypoxia,T3,65.2,7.48,7.26,66.07,.,0.38361,83.77470625,.,134.96
169,Lambege,Hypoxia,T1,62.88,7.3,6.78,62.04,.,0.30322,.,.,.
169,Lambege,Hypoxia,T2,62.88,7.3,6.99,63.94,.,0.34282,75.747375,.,77.48
169,Lambege,Hypoxia,T3,62.88,7.3,6.74,64.89,29.9,0.34418,69.84865125,0.096,105.8
168,Lambege,Hypoxia,T1,61.8,6.63,6.36,65,.,0.3909,.,.,.
168,Lambege,Hypoxia,T2,61.8,6.63,6.82,63.99,.,0.44044,98.72615,.,41.36
168,Lambege,Hypoxia,T3,61.8,6.63,6.92,64.82,.,0.39379,113.7576333,.,74.24
167,Aubert,Hypoxia,T1,66.91,7.12,7.48,66.6,.,0.34678,.,.,.
167,Aubert,Hypoxia,T2,66.91,7.12,6.66,64.82,.,0.29028,79.13422292,.,78
167,Aubert,Hypoxia,T3,66.91,7.12,7.06,67.82,29.9,0.44904,77.35565,0.082,110.84
166,Aubert,Hypoxia,T1,61.88,6.62,6.56,63.32,.,0.36957,.,.,.
166,Aubert,Hypoxia,T2,61.88,6.62,6.04,61.71,.,0.33342,79.46132292,0.08,102.52
166,Aubert,Hypoxia,T3,61.88,6.62,6.49,63.56,29.2,0.40606,97.017175,0.118,170.16
165,Lambege,Hypoxia,T1,72.57,7.49,7.76,69.06,.,0.37239,.,.,.
165,Lambege,Hypoxia,T2,72.57,7.49,7.56,67.04,.,0.3987,78.1335,.,87.04
165,Lambege,Hypoxia,T3,72.57,7.49,7.74,70.51,.,0.3499,88.32630667,.,143.24
164,Lambege,Hypoxia,T1,58.85,4.76,5.05,56.45,.,0.37139,.,.,.
164,Lambege,Hypoxia,T2,58.85,4.76,4.94,56.79,.,0.35432,85.39398125,0.053,110.48
164,Lambege,Hypoxia,T3,58.85,4.76,4.74,59.23,30.2,0.3442,110.2294138,0.048,126.64
163,Lambege,Hypoxia,T1,58.96,4.99,5.26,56.89,.,0.44106,.,.,.
163,Lambege,Hypoxia,T2,58.96,4.99,4.77,54.75,.,0.41302,88.86886,0.057,87.76
163,Lambege,Hypoxia,T3,58.96,4.99,4.73,59.81,30.2,0.38072,103.3018967,0.115,99.88
